,Spectral Class,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(K)
0,F,0,11.12,10.65,0,0,10.539129,9.572,9.281
1,K,0,11.75,10.55,0,0,10.110612,8.25,7.535
2,M,0,0,0,13.44,0,12.445852,9.537,8.722
3,K,0,12.0,10.98,0,0,10.557624,9.026,8.37
4,G,0,11.42,10.81,0,0,10.578123,9.558,9.227
5,A,0,12.1,11.56,0,0,11.360286,10.14,9.83
6,O,0,0,0,0,0,0,13.623,7.852
7,O,0,0,0,0,0,0,12.62,8.212
8,A,0,0,0,0,0,17.20046,16.088,15.27
9,O,0,0,0,0,0,17.903927,10.06,6.408
10,G,0,0,14.77,0,0,14.344188,12.605,12.024
11,G,0,11.87,11.62,0,0,11.55883,10.738,10.465
12,B,0,11.3,11.0,0,0,10.657076,9.786,9.632
13,G,0,17.6,0,16.3,0,16.823547,15.8,15.18
14,M,0,10.93,9.38,0,0,7.989914,5.27,3.842
15,A,0,11.91,12.17,0,0,10.984131,9.597,9.237
16,B,0,11.96,11.38,0,0,11.329077,10.377,10.164
17,A,0,11.11,10.94,0,0,10.729739,10.124,9.992
18,M,0,10.6,9.48,0,0,9.17489,7.574,6.868
19,M,0,17.28,0,14.48,0,14.669635,11.993,10.878
20,B,0,13.05,12.48,0,0,12.021321,10.875,10.626
21,M,0,13.08,10.54,0,0,9.993701,7.565,6.418
22,G,0,11.89,11.3,0,0,0,0,0
23,M,0,14.13,13.37,13.7,0,12.531349,10.061,9.231
24,O,0,0,0,0,0,13.282888,5.868,3.834
25,M,0,12.51,11.79,12.33,0,12.135108,11.195,10.883
26,M,0,0,0,0,0,11.648224,8.857,7.595
27,O,0,0,0,0,0,0,0,9.831
28,M,0,16.23,13.95,13.36,0,12.241435,8.802,7.431
29,B,0,12.16,11.55,0,0,11.037749,9.368,8.998
30,K,0,10.88,10.45,10.394,0,10.365874,9.597,9.36
31,K,0,11.31,11.15,0,0,10.859495,10.008,9.698
32,O,0,0,0,0,0,0,0,9.739
33,A,0,11.76,11.5,0,0,11.406097,10.711,10.537
34,A,0,8.8,8.84,0,0,8.830302,8.822,8.903
35,O,0,0,0,0,0,0,0,10.109
36,M,0,0,0,0,0,0,13.946,13.172
37,G,0,11.24,10.54,0,0,10.545767,9.555,9.242
38,G,0,11.04,10.19,0,0,9.968486,8.682,8.248
39,K,0,11.33,9.89,0,0,9.4584,7.398,6.491
40,A,0,9.79,9.52,0,0,9.4826,8.902,8.751
41,M,0,0,0,0,0,0,0,0
42,B,0,13.4,12.56,0,0,12.041493,10.607,10.284
43,K,0,10.0,0,0,0,10.70258,8.48,7.599
44,F,0,12.126,11.384,11.198,0,0,9.909,9.516
45,G,0,12.7,0,0,0,0,10.244,9.718
46,M,0,0,0,0,0,12.605113,9.514,8.152
47,A,0,9.84,9.6,0,0,9.584669,9.219,9.118
48,O,0,0,0,0,0,19.575953,11.048,7.09
49,B,12.78,13.08,12.41,0,0,12.199901,10.968,10.726
50,M,0,0,0,0,0,0,0,0
51,A,0,10.0,0,0,0,11.81486,11.352,11.258
52,K,0,10.12,9.11,0,0,8.833454,7.374,0
53,F,0,9.84,9.53,0,0,9.519541,8.973,8.837
54,A,0,10.84,10.39,0,0,10.400625,9.626,9.401
55,G,0,16.88,16.48,16.23,0,16.393301,15.41,15.0
56,A,0,11.92,11.66,0,0,11.361183,10.416,10.208
57,B,0,12.61,12.04,12.03,0,11.888615,10.816,10.592
58,O,0,0,0,0,0,0,0,10.165
59,O,0,0,0,0,0,18.481243,9.272,4.839
60,A,14.528,12.25,11.76,0,0,11.581467,10.602,10.402
61,K,0,11.07,9.54,0,0,8.894197,6.667,5.676
62,F,0,10.64,10.26,0,0,10.16225,9.451,9.268
63,O,0,0,0,0,0,18.985474,10.724,6.665
64,A,0,9.85,9.36,0,0,9.164598,8.207,7.979
65,F,0,11.88,11.31,0,0,11.141732,9.962,9.534
66,A,0,11.8,11.6,0,0,11.555399,10.888,10.724
67,M,0,11.14,9.56,0,0,8.352699,5.354,4.261
68,O,0,0,0,0,0,0,0,11.763
69,G,0,9.31,8.88,0,0,8.805899,8.055,7.863
70,K,0,12.23,10.59,0,0,9.772993,7.203,6.093
71,K,0,10.86,9.42,0,0,8.888814,6.82,5.954
72,O,0,0,0,0,0,15.966638,8.416,5.061
73,K,0,11.04,9.79,0,0,9.398007,7.772,7.085
74,G,0,10.33,9.87,0,0,9.752674,8.957,8.727
75,M,0,10.93,9.16,0,0,7.571114,4.297,2.913
76,M,0,11.06,9.84,0,0,9.540755,7.918,7.249
77,K,0,11.17,10.19,0,0,9.824635,8.129,7.411
78,M,0,0,0,0,0,13.728158,8.212,6.776
79,M,0,0,0,0,0,0,0,0
80,O,0,0,0,0,0,19.509148,8.344,3.38
81,K,0,12.13,9.57,0,0,8.057407,4.809,3.23
82,M,0,11.79,10.17,0,0,9.204639,6.474,5.281
83,B,0,10.55,10.49,0,0,10.480234,10.279,10.306
84,G,0,0,0,8.7,0,8.918229,7.858,7.521
85,F,0,9.58,9.29,0,0,9.329146,8.99,8.972
86,O,0,0,0,0,0,0,12.67,7.73
87,M,0,11.41,10.11,0,0,9.73805,7.782,7.022
88,M,0,15.6,0,0,0,11.511384,7.937,6.45
89,O,0,0,0,0,0,19.668083,13.611,7.559
90,A,0,10.33,10.14,0,0,10.140816,9.854,9.798
91,K,0,12.28,11.3,10.97,0,10.91429,9.712,9.271
92,G,0,9.68,9.31,0,0,9.188821,8.463,8.234
93,M,0,13.31,11.83,0,0,10.324235,7.27,6.077
94,G,0,16.43,15.81,15.63,0,15.666855,14.674,14.25
95,G,0,9.68,9.27,0,0,9.225387,8.541,8.34
96,K,0,15.0,14.0,0,0,12.865302,10.384,9.516
97,G,0,9.2,8.63,0,0,8.516123,7.561,7.332
98,O,0,0,0,0,0,18.401981,11.143,0
99,O,0,0,0,0,0,0,0,9.221
100,K,0,12.04,10.9,0,0,10.521462,8.79,8.127
101,M,0,0,0,0,0,14.324824,8.967,7.428
102,O,0,0,0,0,0,13.13531,7.153,5.242
103,A,0,8.9,8.85,0,0,8.860269,8.731,8.723
104,O,0,0,0,0,0,14.125265,6.82,4.35
105,O,0,0,0,0,0,0,13.04,6.134
106,K,0,12.53,10.83,0,0,10.155843,7.766,6.871
107,O,0,0,0,0,0,19.20096,0,0
108,B,11.56,11.96,11.51,0,0,11.352696,10.442,10.283
109,B,0,9.76,9.6,0,0,9.551481,9.23,9.186
110,M,0,0,0,0,0,11.698653,7.919,6.545
111,B,0,12.19,11.59,0,0,11.23226,9.686,9.304
112,F,0,0,14.12,0,0,14.041809,13.328,13.171
113,G,0,12.33,11.12,0,0,11.246074,10.015,9.621
114,G,0,11.2,9.98,0,0,9.457373,7.581,6.795
115,O,0,0,0,0,0,16.523005,10.893,0
116,F,0,0,13.17,0,0,13.021784,12.081,11.762
117,O,0,0,0,0,0,0,0,15.047
118,M,0,0,0,12.64,9.41,10.976108,6.902,5.616
119,F,0,9.32,8.99,0,0,8.932656,8.299,8.123
120,F,0,0,14.84,0,0,14.717591,13.761,13.462
121,G,0,11.37,10.75,0,0,10.589162,9.596,9.248
122,K,0,11.59,10.63,0,0,10.356461,8.663,7.971
123,O,0,0,0,0,0,0,0,0
124,B,0,10.84,10.76,0,0,10.729795,10.413,10.428
125,F,0,12.84,12.28,0,0,12.147738,11.17,10.897
126,A,0,9.54,9.28,0,0,9.277795,8.83,8.713
127,K,0,9.85,8.25,0,0,7.503179,5.086,4.24
128,K,0,10.13,8.81,0,0,8.430778,6.568,5.78
129,B,0,10.85,10.22,0,0,10.048048,8.679,8.336
130,O,0,0,0,0,0,15.987955,8.288,5.237
131,M,0,0,0,0,0,20.973566,13.235,11.026
132,B,0,12.9,0,0,0,12.41733,11.428,11.235
133,K,0,11.98,10.45,0,0,9.670064,7.299,6.298
134,B,13.08,13.24,12.55,12.35,0,12.212538,10.922,10.668
135,A,0,12.04,12.31,0,0,11.739432,10.944,10.777
136,G,0,9.09,8.62,0,0,8.52877,7.745,7.539
137,A,0,9.48,9.44,0,0,9.496213,9.42,9.455
138,O,0,0,0,0,0,14.783108,8.088,5.641
139,K,0,12.36,10.84,0,0,10.320374,8.277,7.478
140,K,0,11.73,9.66,0,0,8.697657,5.84,4.642
141,G,0,11.77,11.38,0,0,11.256243,10.299,10.007
142,G,0,10.06,9.09,0,0,8.886408,7.46,6.877
143,K,0,11.97,10.87,0,0,10.569441,8.953,8.357
144,O,0,0,0,0,0,0,0,12.132
145,M,0,0,0,0,0,0,0,0
146,A,0,11.31,9.64,0,0,8.828735,6.326,5.24
147,G,0,12.663,12.052,11.966,0,11.941983,10.982,10.623
148,F,0,0,16.27,0,0,16.139536,15.319,14.931
149,M,0,10.0,0,0,0,12.414689,11.248,10.914
150,G,0,13.58,12.91,0,0,12.818463,11.688,11.262
151,B,0,12.6,12.13,0,0,11.500964,10.189,9.926
152,K,0,10.73,9.75,0,0,9.595422,8.216,7.696
153,F,0,0,13.5,0,0,13.383786,12.573,12.267
154,M,0,12.2,10.79,0,0,9.991591,7.446,6.375
155,G,0,9.89,9.31,0,0,9.186744,8.223,7.876
156,F,0,9.69,9.37,0,0,9.35158,0,0
157,O,0,0,0,0,0,20.703945,0,0
158,G,0,11.78,10.35,0,0,9.602325,7.291,6.309
159,O,0,0,0,0,0,13.646039,6.901,4.474
160,A,0,10.62,10.15,0,0,10.198559,9.437,9.297
161,O,0,0,0,0,0,0,12.126,8.458
162,F,0,17.0,0,0,0,21.268803,13.645,12.705
163,O,0,13.59,13.36,0,0,13.323923,12.851,12.74
164,K,0,11.066,10.09,0,0,9.761506,8.239,7.6
165,B,0,10.41,10.16,0,0,10.075784,9.514,9.434
166,B,0,10.21,9.85,0,0,9.710228,8.964,8.853
167,O,0,0,0,0,0,18.583448,11.773,7.425
168,M,0,0,0,0,0,0,0,0
169,B,0,12.48,12.05,12.05,0,11.925949,11.056,10.875
170,B,0,16.36,16.81,0,0,16.638325,16.47,0
171,F,0,12.09,11.74,0,0,11.524484,10.662,10.385
172,B,0,10.86,10.794,0,10.5252,10.757693,10.307,10.29
173,O,0,0,0,0,0,17.741877,10.678,7.579
174,F,0,9.94,9.54,0,0,9.483824,8.755,8.595
175,F,0,10.61,10.13,0,0,10.010939,9.187,8.86
176,F,0,17.8,0,17.7,0,18.126204,0,0
177,O,0,0,0,0,0,16.610836,8.47,5.774
178,K,0,10.5,9.3,0,0,8.981715,7.1,6.331
179,M,0,0,0,0,0,0,0,0
180,K,0,11.24,10.58,0,0,10.409785,9.332,8.976
181,K,0,11.05,10.1,0,0,9.534228,7.507,6.785
182,M,0,11.89,10.28,0,0,9.773368,7.643,6.764
183,G,0,9.96,9.54,0,0,9.456197,8.719,8.532
184,G,0,13.1,0,0,0,12.0604,10.939,10.537
185,K,0,9.23,8.36,0,0,8.151668,6.86,6.329
186,M,0,0,18.89,0,0,17.830881,15.234,14.315
187,M,0,0,0,0,0,0,0,0
188,B,0,12.47,11.85,0,0,11.159716,9.385,8.95
189,O,0,0,0,0,0,0,10.335,6.443
190,K,0,10.97,10.1,0,0,9.882442,8.345,7.773
191,K,0,10.49,9.42,0,0,9.155137,7.635,7.006
192,K,0,11.7,11.34,0,0,10.907226,9.895,9.496
193,F,0,16.0,0,0,0,15.971012,14.997,14.408
194,K,0,0,0,10.093,0,10.024741,8.048,7.223
195,F,0,12.32,12.15,0,0,11.632566,10.648,10.329
196,G,0,9.11,8.62,0,0,8.51003,7.636,7.404
197,B,8.44,8.78,8.33,0,0,8.136676,7.193,7.106
198,O,0,0,0,0,0,16.088926,7.806,4.571
199,G,0,10.62,10.09,0,0,9.980779,9.105,8.794
200,A,0,11.47,11.3,0,0,11.193303,10.489,10.27
201,G,0,17.3,0,16.42,0,16.699701,15.75,15.49
202,G,0,0,0,0,0,0,0,0
203,B,0,12.08,11.61,11.75,0,11.703998,10.7,10.482
204,O,0,0,0,0,0,16.677956,11.283,8.347
205,B,0,12.27,11.52,0,0,11.253658,9.357,8.974
206,B,0,11.85,11.23,0,0,11.134046,9.75,9.436
207,B,0,10.42,10.1,0,0,9.979048,9.295,9.171
208,M,0,11.14,10.51,0,0,10.400433,9.315,9.03
209,F,0,0,15.62,0,0,15.540793,14.863,14.653
210,O,0,0,13.0,0,0,11.648096,5.144,3.14
211,G,0,9.54,9.1,0,0,9.020156,8.24,8.041
212,F,0,17.3,0,0,0,16.566164,15.562,15.398
213,M,0,0,0,0,0,12.722816,9.832,8.488
214,O,0,0,0,0,0,0,13.849,8.351
215,B,0,0,15.508,15.206,0,14.8705,12.452,9.88
216,A,0,10.71,10.3,0,0,10.361905,9.596,9.435
217,K,0,11.98,10.37,0,0,9.616763,7.136,6.152
218,O,0,0,0,0,0,12.362125,6.529,4.528
219,A,0,9.27,9.2,0,0,9.167586,8.925,8.925
220,F,0,12.17,11.42,0,0,11.833742,11.074,10.842
221,K,0,11.47,10.4,0,0,10.153115,8.435,7.733
222,M,0,0,0,0,0,11.905117,9.712,8.686
223,B,0,11.78,11.26,0,0,10.995702,10.106,9.985
224,K,0,11.88,9.87,0,0,8.915923,6.08,4.878
225,A,0,12.59,12.12,0,0,11.690568,10.667,10.432
226,M,0,12.179,10.505,10.073,0,9.897115,7.499,6.491
227,M,0,13.9,13.1,0,0,0,0,0
228,B,0,11.17,10.86,10.72,0,10.70363,9.864,9.757
229,M,0,0,0,0,0,12.113021,8.948,7.639
230,B,0,12.78,12.09,0,0,12.254898,10.69,10.344
231,M,0,11.4,9.89,0,0,9.144172,6.617,5.602
232,A,0,12.85,12.26,0,0,11.993661,10.807,10.521
233,B,0,12.74,12.19,0,0,11.982684,10.928,10.744
234,F,0,12.52,12.21,0,0,11.721189,10.693,10.37
235,K,0,12.04,10.91,0,0,10.582716,8.985,8.336
236,F,0,10.82,10.27,0,0,10.195374,0,0
237,K,0,11.33,9.83,0,0,9.43758,7.523,6.734
238,G,0,12.36,12.09,0,0,11.783051,10.431,9.996
239,O,0,0,0,0,0,13.349043,6.259,4.262
240,O,0,0,0,0,13.85,15.160471,9.732,7.748
241,O,0,0,0,0,0,0,15.743,9.377
242,F,0,12.19,11.55,0,0,11.390333,10.057,9.666
243,K,0,10.957,10.052,9.5,9.271,9.837243,8.48,7.852
244,K,0,11.82,10.19,0,0,9.644424,7.552,6.663
245,M,0,10.32,8.73,0,0,7.824778,5.246,4.352
246,G,0,10.33,9.8,0,0,0,8.659,8.359
247,K,0,11.62,10.32,0,0,10.024189,8.117,7.344
248,G,0,18.1,0,17.1,0,17.281773,16.22,15.89
249,F,0,12.68,12.34,0,0,12.130421,11.118,10.766
250,O,0,0,0,0,0,13.42621,7.486,5.435
251,K,0,10.8,9.35,0,0,8.798254,6.677,5.732
252,A,0,12.28,11.46,11.84,0,11.77789,10.96,10.816
253,B,0,11.02,10.67,0,0,10.551042,9.861,9.743
254,G,0,10.92,10.43,0,0,10.288133,9.529,9.233
255,O,0,0,0,0,0,11.610387,5.51,2.837
256,M,0,15.87,14.2,13.95,0,13.992551,10.95,10.161
257,F,0,12.01,11.62,0,0,11.233229,10.282,9.996
258,K,0,10.03,9.04,0,0,8.793659,7.296,6.724
259,G,0,9.75,9.19,0,0,9.065627,8.144,7.849
260,A,0,10.03,9.75,0,0,9.73014,9.255,9.148
261,O,0,0,0,0,0,0,11.393,6.387
262,A,0,11.21,11.12,0,0,10.982492,10.646,10.618
263,F,0,9.98,9.47,0,0,9.290794,8.367,8.106
264,G,0,12.15,11.37,0,0,11.314837,10.246,9.864
265,K,0,11.45,10.46,0,0,10.03566,8.35,7.667
266,F,0,11.38,10.864,0,0,10.784443,9.981,9.711
267,F,0,0,14.32,0,0,14.344857,13.357,13.02
268,F,0,13.5,0,0,0,13.472288,12.686,12.439
269,K,0,10.76,9.51,0,0,9.19169,7.477,6.795
270,O,0,0,0,0,0,0,0,8.427
271,F,0,0,14.65,0,0,14.495414,13.731,13.465
272,O,0,0,0,0,0,0,0,0
273,B,11.54,11.6,11.1,0,0,11.149312,10.048,9.821
274,O,0,0,0,0,0,15.065924,10.239,6.619
275,A,0,11.64,10.09,0,0,9.385254,6.901,5.873
276,A,0,10.7,10.34,0,0,10.232699,9.482,9.305
277,O,0,0,0,0,0,10.72829,5.237,3.43
278,G,0,11.43,10.94,0,0,10.761081,9.865,9.576
279,M,0,17.27,0,15.2,0,14.996437,12.125,10.955
280,A,0,11.01,10.55,0,0,10.259393,9.166,8.914
281,G,0,12.25,11.6,0,0,11.401035,10.023,9.656
282,M,0,0,0,0,0,0,0,0
283,O,0,0,0,0,0,11.978558,6.648,4.671
284,O,0,0,0,0,0,17.490238,7.188,2.811
285,A,0,10.0,0,0,0,11.950556,11.357,11.182
286,B,16.63,16.0,14.05,0,0,0,0,0
287,O,0,0,0,0,0,11.517076,5.285,3.12
288,M,0,0,13.93,0,0,14.021281,13.132,12.811
289,K,0,10.96,10.56,0,0,10.365262,9.415,9.086
290,O,0,0,0,0,0,16.758364,7.761,4.612
291,M,0,0,0,13.74,0,11.729758,7.621,5.982
292,F,0,0,0,0,0,0,0,0
293,B,10.77,11.38,11.06,0,0,10.878564,10.223,10.166
294,M,0,15.74,13.58,12.5,0,11.611136,8.13,6.588
295,A,0,12.48,11.12,0,0,11.36307,10.017,9.719
296,F,0,11.03,10.6,0,0,10.582584,9.926,9.699
