C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |HD 201445                          |*  |21 08 21.8476895952 +38 29 07.657165212|     ~   |9.41     |9.23     |     ~   |     ~   |A              |   4|   0
2   |HD 202600                          |*  |21 15 44.9178805128 +38 20 01.420573812|     ~   |9.58     |9.00     |     ~   |     ~   |A              |   2|   0
3   |HD 203920                          |*  |21 24 02.2012266192 +39 09 33.638350788|     ~   |8.95     |8.93     |     ~   |     ~   |A              |   8|   0
4   |HD 203628                          |*  |21 22 27.3794624904 +38 16 51.127972032|     ~   |9.69     |9.50     |     ~   |     ~   |A              |   4|   0
5   |HD 204006                          |*  |21 24 31.6990192464 +39 47 08.249523396|     ~   |9.01     |8.74     |     ~   |     ~   |A              |   3|   0
6   |HD 205223                          |EB*|21 32 49.6516842 +39 04 20.012267      |     ~   |8.99     |8.81     |     ~   |     ~   |A              |  15|   0
7   |BD+42 4219                         |*  |21 49 07.7334552360 +42 41 34.756110744|     ~   |10.61    |10.27    |     ~   |     ~   |A              |   2|   0
8   |HD 208564                          |*  |21 56 03.4361161440 +43 19 21.813826872|     ~   |9.05     |8.99     |     ~   |     ~   |A              |   4|   0
9   |HD 211072                          |*  |22 13 44.7511688568 +42 27 43.518883104|     ~   |8.97     |8.95     |     ~   |     ~   |A              |   8|   0
10  |HD 211496                          |*  |22 16 36.3105419784 +42 50 23.464956984|     ~   |9.01     |8.70     |     ~   |     ~   |A              |  12|   0
11  |HD 213834                          |*  |22 33 33.0228198312 +44 48 07.873401852|     ~   |10.97    |10.93    |     ~   |     ~   |A              |   1|   0
12  |HD 215270                          |*  |22 43 16.6386066264 +45 14 11.998199868|     ~   |10.79    |10.58    |     ~   |     ~   |A              |   5|   0
13  |BD+44 4212                         |*  |22 43 16.5269150856 +45 14 51.826350840|     ~   |10.53    |9.34     |     ~   |     ~   |A              |   2|   0
14  |HD 215610                          |*  |22 45 41.9207345400 +45 09 43.302568212|     ~   |10.82    |10.59    |     ~   |     ~   |A              |   3|   0
15  |HD 215685                          |*  |22 46 13.6813672680 +45 42 47.978381952|     ~   |10.67    |10.53    |     ~   |     ~   |A              |   5|   0
16  |HD 214820                          |** |22 40 03.835152 +44 00 55.97316        |     ~   |10.885   |10.700   |10.716   |     ~   |A              |   1|   0
17  |HD 216670                          |*  |22 54 08.2499629752 +45 11 15.889371576|     ~   |10.64    |10.48    |     ~   |     ~   |A              |   7|   0
18  |HD 216862                          |*  |22 55 53.8118105832 +45 04 58.603993248|     ~   |10.33    |10.30    |     ~   |     ~   |A              |   8|   0
19  |HD 215989                          |*  |22 48 21.2602003416 +46 16 04.985819148|     ~   |10.35    |10.05    |     ~   |     ~   |A              |   3|   0
20  |HD 222315                          |*  |23 39 13.2864751440 +47 28 22.537689636|     ~   |9.71     |9.66     |     ~   |     ~   |A              |   6|   0
21  |GD 3                               |PM*|00 08 46.0170521520 +45 00 54.820696104|     ~   |12.52    |12.55    |     ~   |     ~   |A              |  10|   0
22  |HD 1222                            |*  |00 16 49.7364680040 +47 14 38.505778656|9.000    |9.210    |9.210    |     ~   |     ~   |A              |  10|   0
23  |HD 8183                            |*  |01 22 02.6150410776 +45 17 39.193525896|     ~   |10.83    |10.76    |     ~   |     ~   |A              |   1|   0
24  |HD 8790                            |*  |01 27 30.4052472120 +45 11 03.611595768|     ~   |10.64    |10.20    |     ~   |     ~   |A              |   3|   0
25  |HD 10704                           |*  |01 45 34.0727618664 +43 43 20.736459624|     ~   |9.72     |9.55     |     ~   |     ~   |A              |   3|   0
26  |HD 11473                           |*  |01 53 47.5765162200 +42 56 10.221559152|     ~   |9.66     |9.49     |     ~   |     ~   |A              |   2|   0
27  |HD 13188                           |*  |02 09 53.4801929544 +40 31 18.578506548|     ~   |8.71     |8.52     |     ~   |     ~   |A              |   7|   0
28  |HD 200841                          |*  |21 04 42.6234504936 +41 00 28.774035000|     ~   |8.33     |8.28     |     ~   |     ~   |A              |  24|   0
29  |HD 201004                          |*  |21 05 31.3863160944 +41 09 46.562570172|     ~   |8.98     |8.91     |     ~   |     ~   |A              |   7|   0
30  |HD 202598                          |*  |21 15 36.0102947544 +42 25 44.664488256|     ~   |9.44     |9.19     |     ~   |     ~   |A              |   3|   0
31  |HD 204195                          |*  |21 25 48.8119605720 +42 31 34.627570140|     ~   |9.21     |9.18     |     ~   |     ~   |A              |   4|   0
32  |HD 204359                          |** |21 26 48.9239 +42 27 56.590            |     ~   |9.01     |8.96     |     ~   |     ~   |A              |  12|   0
33  |HD 204005                          |Pu*|21 24 26.5312474656 +43 26 33.704815992|     ~   |9.11     |9.16     |     ~   |     ~   |A              |   3|   0
34  |HD 207057                          |*  |21 45 13.9720727976 +43 19 55.428366180|     ~   |9.01     |8.91     |     ~   |     ~   |A              |   8|   0
35  |BD+46 3614                         |Pu*|22 12 16.0740613992 +47 11 06.496835604|     ~   |9.41     |9.42     |     ~   |     ~   |A              |   1|   0
36  |HD 210821                          |*  |22 12 05.2231155288 +45 33 48.061686780|     ~   |9.25     |9.11     |     ~   |     ~   |A              |   2|   0
37  |HD 210887                          |*  |22 12 29.0182398288 +45 34 18.735934692|     ~   |9.37     |9.26     |     ~   |     ~   |A              |   7|   0
38  |HD 209482                          |*  |22 02 38.8628472672 +46 13 18.122790972|     ~   |9.17     |9.08     |     ~   |     ~   |A              |   6|   0
39  |HD 213888                          |*  |22 33 40.7997580320 +47 03 11.999527236|     ~   |10.92    |10.91    |     ~   |     ~   |A              |   4|   0
40  |HD 213944                          |*  |22 34 08.0931340608 +47 04 16.279372740|     ~   |10.90    |10.65    |     ~   |     ~   |A              |   8|   0
