C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:14

sptype='B'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |KUV 02507+3706                     |HB*|02 53 47.5869726000 +37 18 37.121336856|     ~   |17.0     |     ~   |     ~   |     ~   |BN             |   2|   0
2   |KUV 02432+3637                     |*  |02 46 17.9285585784 +36 49 40.505983320|     ~   |15.5     |     ~   |     ~   |     ~   |B              |   2|   0
3   |KUV 02532+3534                     |*  |02 56 21.0960645360 +35 45 43.146143496|     ~   |16.0     |15.49    |     ~   |     ~   |B              |   2|   0
4   |LS II +36 84                       |PM*|20 49 12.0468298080 +36 40 24.612294072|12.03    |12.16    |     ~   |11.1     |     ~   |B              |   7|   0
5   |BD+40 4436                         |Em*|21 11 47.9813422896 +40 36 30.247442856|     ~   |11.50    |11.31    |     ~   |     ~   |B              |   8|   0
6   |BD+42 4141                         |*  |21 34 59.4511525440 +43 26 43.822810428|     ~   |10.41    |10.16    |     ~   |     ~   |B              |   6|   0
7   |BD+41 4191                         |Em*|21 33 41.5344757872 +41 52 08.579841636|     ~   |10.80    |10.55    |     ~   |     ~   |B              |  11|   0
8   |BD+43 4040                         |Em*|21 45 41.4087254352 +44 12 02.048149548|     ~   |10.51    |10.48    |     ~   |     ~   |B              |   9|   0
9   |LS III +43 27                      |*  |21 45 57.1097806080 +44 07 09.724102356|     ~   |11.82    |11.73    |     ~   |     ~   |B              |   5|   0
10  |LS III +43 28                      |*  |21 53 24.2643492552 +44 08 02.500025028|     ~   |11.91    |11.49    |     ~   |     ~   |B              |   5|   0
11  |LS III +44 48                      |*  |22 01 50.1621199488 +44 18 55.162158120|     ~   |12.25    |11.98    |     ~   |     ~   |B              |   5|   0
12  |BD+45 3808                         |*  |22 07 39.3093046680 +46 12 00.462678300|10.55    |10.23    |9.98     |     ~   |     ~   |B              |   9|   0
13  |LS III +46 67                      |*  |22 21 08.3541988824 +46 54 06.194996676|     ~   |12.82    |12.45    |     ~   |     ~   |B              |   5|   0
14  |TYC 3611-1146-1                    |*  |22 25 39.0408449448 +48 08 52.609091064|     ~   |12.70    |12.90    |     ~   |     ~   |B              |   2|   0
15  |LS III +48 50                      |Em*|22 29 57.2316955896 +48 21 27.938105388|     ~   |12.15    |12.75    |     ~   |     ~   |B              |  10|   0
16  |GSC 03624-02275                    |*  |22 34 19.9607963712 +47 53 38.748664464|     ~   |     ~   |13.1     |     ~   |     ~   |B              |   1|   0
17  |GSC 03611-00476                    |*  |22 28 49.2331257048 +48 10 36.846204384|     ~   |     ~   |13.1     |     ~   |     ~   |B              |   1|   0
18  |V* V381 Cas                        |EB*|00 32 51.6078842088 +49 19 39.327241080|     ~   |10.11    |10.22    |10.255   |     ~   |B              |  43|   0
19  |LS III +40 23                      |*  |20 45 41.0211775560 +40 31 34.876572060|     ~   |12.66    |12.44    |     ~   |     ~   |B              |   5|   0
20  |LS III +40 24                      |*  |20 46 02.9038573392 +40 19 17.922308232|     ~   |12.27    |11.52    |     ~   |     ~   |B              |   6|   0
21  |LS III +41 42                      |*  |20 57 26.6482110960 +41 48 59.459340636|     ~   |11.83    |11.01    |     ~   |     ~   |B              |   6|   0
22  |LS III +41 43                      |*  |20 59 32.7345063864 +41 35 02.267676924|     ~   |12.02    |11.35    |     ~   |     ~   |B              |   6|   0
23  |LS III +41 44                      |*  |21 00 05.5209433392 +42 01 35.601214944|     ~   |12.6     |     ~   |     ~   |     ~   |B              |   5|   0
24  |LS III +42 20                      |*  |20 55 44.1109432320 +42 48 18.132955416|     ~   |12.24    |11.24    |     ~   |     ~   |B              |   7|   0
25  |LS III +45 71                      |Em*|21 23 41.1496926792 +45 20 15.609826932|     ~   |10.98    |10.77    |     ~   |     ~   |B              |   9|   0
26  |BD+45 3525                         |*  |21 24 13.2009252768 +46 03 55.216802268|     ~   |10.96    |10.26    |     ~   |     ~   |B              |   6|   0
27  |LS III +44 42                      |Em*|21 13 15.1440982632 +44 54 31.144185864|     ~   |11.3     |11.1     |     ~   |     ~   |B              |  13|   0
28  |LS III +46 63                      |Em*|21 31 31.7572204272 +46 36 53.818722684|     ~   |11.30    |11.22    |     ~   |     ~   |B              |   9|   0
29  |LS III +46 64                      |*  |21 35 53.0734765824 +46 46 52.801460220|     ~   |11.68    |11.34    |     ~   |     ~   |B              |   5|   0
30  |LS III +48 43                      |*  |21 45 10.1193243096 +48 16 39.238037616|     ~   |11.20    |10.98    |     ~   |     ~   |B              |   5|   0
31  |EM* GGR 37                         |Em*|21 44 59.4528304800 +47 57 58.898984436|     ~   |11.92    |11.47    |     ~   |     ~   |B              |   9|   0
32  |LS III +47 53                      |*  |21 46 05.7494895528 +47 48 18.864030708|     ~   |12.05    |11.44    |     ~   |     ~   |B              |   5|   0
33  |EM* AS 485                         |Em*|22 07 51.1023818832 +49 02 19.655420352|     ~   |11.38    |11.21    |     ~   |     ~   |B              |   9|   0
34  |LS III +49 44                      |*  |22 22 11.7177199416 +50 11 49.627954320|     ~   |12.58    |11.76    |     ~   |     ~   |B              |   6|   0
35  |GSC 03615-00418                    |*  |22 28 26.1043986648 +50 20 46.696845732|     ~   |     ~   |12.8     |     ~   |     ~   |B              |   1|   0
36  |GSC 03628-01588                    |*  |22 33 24.7908027024 +50 32 00.153828780|     ~   |     ~   |13       |     ~   |     ~   |B              |   1|   0
37  |GSC 03632-02708                    |*  |22 30 53.90 +50 50 43.3                |     ~   |     ~   |13.0     |     ~   |     ~   |B              |   1|   0
38  |[R57] 1235                         |*  |22 31 58.6989504816 +49 49 00.402344868|     ~   |     ~   |13.3     |     ~   |     ~   |B              |   1|   0
39  |GSC 03629-02434                    |HS?|22 42 00.9185029800 +49 04 09.468654636|     ~   |     ~   |13.0     |     ~   |     ~   |B              |   2|   0
40  |GSC 03633-01257                    |*  |22 42 03.2265447096 +50 48 36.834242220|     ~   |     ~   |12.2     |     ~   |     ~   |B              |   1|   0
41  |GSC 03632-01555                    |*  |22 35 40.0927693176 +50 50 28.873227516|     ~   |     ~   |12.8     |     ~   |     ~   |B              |   1|   0
42  |GSC 03629-02277                    |*  |22 44 06.5791629288 +49 58 32.487793932|     ~   |     ~   |12.8     |     ~   |     ~   |B              |   1|   0
43  |GSC 03629-00845                    |*  |22 43 48.2905718976 +50 07 48.234941400|     ~   |     ~   |12.9     |     ~   |     ~   |B              |   1|   0
44  |GSC 03628-01958                    |*  |22 38 19.4068639920 +50 19 34.487415300|     ~   |13.41    |13.04    |12.99    |     ~   |B              |   1|   0
45  |GSC 03628-00816                    |*  |22 36 56.5435787592 +50 30 41.609482632|     ~   |     ~   |13.3     |     ~   |     ~   |B              |   1|   0
46  |GSC 03632-02171                    |*  |22 38 19.1798203368 +50 41 11.023363104|     ~   |13.50    |13.19    |13.19    |     ~   |B              |   1|   0
47  |[R57] 2727                         |*  |22 42 00.2849146608 +50 38 05.716410900|     ~   |     ~   |13.4     |     ~   |     ~   |B              |   1|   0
48  |GSC 03628-01286                    |*  |22 36 39.2438041632 +50 25 52.344054228|     ~   |     ~   |13.2     |     ~   |     ~   |B              |   1|   0
49  |[R57] 1795                         |*  |22 35 44.7966720240 +50 13 46.625800980|     ~   |     ~   |13       |     ~   |     ~   |B              |   1|   0
50  |LS III +51 42                      |Em*|22 51 38.9171619360 +51 50 42.440834364|     ~   |12.01    |11.78    |     ~   |     ~   |B              |  78|   1
51  |LS III +52 44                      |*  |23 38 03.4565384472 +52 24 47.064805488|     ~   |11.62    |11.31    |     ~   |     ~   |B              |   8|   0
52  |LS III +52 45                      |Em*|23 45 12.6278059512 +52 40 26.177493900|     ~   |11.01    |10.83    |     ~   |     ~   |B              |   8|   0
53  |ALS 11307                          |*  |20 24 16.7 +40 25 47                   |     ~   |10.4     |     ~   |     ~   |     ~   |B              |   3|   0
54  |EM* AS 404                         |Em*|20 19 55.6086155448 +39 47 02.992377732|     ~   |11.39    |10.78    |     ~   |     ~   |B              |  10|   0
55  |LS II +39 31                       |*  |20 20 30.4077678576 +40 01 37.846021116|     ~   |10.87    |10.58    |     ~   |     ~   |B              |   7|   0
