C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:19

sptype='F'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |HD 225067                          |*  |00 03 09.9798833880 +45 07 33.350868948|     ~   |10.37    |10.05    |     ~   |     ~   |F              |   6|   1
2   |HD 225066                          |*  |00 03 09.0315277296 +45 07 30.389240388|     ~   |9.62     |9.06     |     ~   |     ~   |F              |   5|   0
3   |HD 4461                            |*  |00 47 12.4445743896 +46 10 57.023626836|9.700    |9.633    |9.543    |9.503    |9.463    |F              |   3|   0
4   |HD 3755                            |*  |00 40 42.8593231704 +44 51 43.252242372|     ~   |9.23     |8.79     |     ~   |     ~   |F              |   3|   0
5   |HD 8198                            |*  |01 22 18.0585400536 +45 07 41.617248636|     ~   |10.64    |10.22    |     ~   |     ~   |F              |   2|   0
6   |HD 8208                            |*  |01 22 29.5712188560 +45 21 58.307096736|     ~   |10.83    |10.52    |     ~   |     ~   |F              |   2|   0
7   |HD 8722                            |*  |01 26 49.5279075528 +45 11 42.044219916|     ~   |10.45    |10.06    |     ~   |     ~   |F              |   2|   0
8   |HD 8800                            |*  |01 27 38.4253041216 +44 39 04.285021824|     ~   |10.82    |10.40    |     ~   |     ~   |F              |   3|   0
9   |HD 8318                            |*  |01 23 18.6332272032 +43 51 44.488529856|     ~   |10.75    |10.45    |     ~   |     ~   |F              |   2|   0
10  |BD+38 4234                         |*  |20 47 24.0825645504 +38 48 36.228990672|     ~   |9.80     |9.37     |     ~   |     ~   |F              |   1|   0
11  |HD 204684                          |*  |21 29 04.7538919968 +43 09 05.835800880|     ~   |9.82     |9.43     |     ~   |     ~   |F              |   2|   0
12  |NGC 7209 57                        |*  |22 04 51.5401504296 +46 43 47.032838112|     ~   |12.74    |     ~   |     ~   |     ~   |F              |   6|   0
13  |TYC 3625-1566-1                    |*  |22 44 50.3616413736 +47 38 33.704844720|     ~   |11.99    |11.53    |     ~   |     ~   |F              |   3|   0
14  |BD+47 4070                         |SB*|23 12 10.2900342408 +48 34 06.149889912|     ~   |11.47    |10.81    |     ~   |     ~   |F              |   1|   0
15  |HD 9426                            |*  |01 33 40.3396879992 +46 53 46.943034108|     ~   |10.55    |10.63    |     ~   |     ~   |F              |   3|   0
16  |BD+42 547                          |*  |02 33 11.8650043920 +42 49 15.601167372|     ~   |9.32     |8.98     |     ~   |     ~   |F              |   6|   0
