C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='G'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |BD+43 4139                         |*  |22 09 26.6319597216 +44 12 27.527757624|     ~   |12.40    |10.98    |     ~   |     ~   |G              |   0|   0
2   |BD+42 4316                         |*  |22 11 04.2961213704 +43 06 16.276082076|     ~   |11.04    |10.80    |     ~   |     ~   |G              |   1|   0
3   |AG+44 2118                         |** |22 46 51.533736 +44 20 22.13304        |     ~   |12.640   |12.002   |11.949   |     ~   |G              |  10|   1
4   |BD+45 4191                         |PM*|23 18 33.6461734344 +46 41 55.272976620|     ~   |9.45     |9.02     |     ~   |     ~   |G              |   1|   0
5   |TYC 3229-1355-1                    |*  |23 15 07.7636535432 +44 55 59.671243704|     ~   |12.18    |11.99    |     ~   |     ~   |G              |   2|   0
6   |BD+45 4361                         |V* |23 55 36.0 +46 45 00                   |     ~   |11.5     |     ~   |     ~   |     ~   |G              |   2|   0
7   |BD+45 290                          |*  |01 11 08.7591206448 +46 14 23.914707072|     ~   |11.04    |10.03    |     ~   |     ~   |G              |   1|   0
8   |HD 7589                            |*  |01 16 37.9453440504 +44 59 34.472966136|     ~   |10.70    |10.05    |     ~   |     ~   |G              |   2|   0
9   |HD 7698                            |*  |01 17 33.7531173696 +44 24 19.360857996|     ~   |10.76    |10.25    |     ~   |     ~   |G              |   2|   0
10  |AG+44 184                          |*  |01 41 21.6282839880 +44 34 36.928751880|     ~   |11.8     |10.8     |     ~   |     ~   |G              |   1|   0
11  |AG+41 208                          |** |02 03 02.900472 +41 30 55.00116        |     ~   |12.349   |11.800   |11.658   |     ~   |G              |   2|   0
12  |BD+40 486                          |*  |02 21 14.7667957128 +40 43 09.397030476|     ~   |10.82    |10.32    |     ~   |     ~   |G              |   1|   0
13  |BD+40 490                          |*  |02 21 27.4949817984 +40 42 48.343878864|     ~   |11.94    |10.91    |     ~   |     ~   |G              |   1|   0
14  |HD 16444                           |*  |02 39 31.9853771688 +40 08 18.175122708|     ~   |9.54     |9.10     |     ~   |     ~   |G              |   2|   0
15  |BD+43 3951                         |*  |21 31 11.6817488112 +44 04 20.295218820|     ~   |9.47     |8.44     |     ~   |     ~   |G              |   1|   0
16  |BD+43 4125                         |*  |22 05 12.3386361888 +44 40 43.453350156|     ~   |11.32    |10.40    |     ~   |     ~   |G              |   0|   0
17  |TYC 3607-719-1                     |*  |22 20 36.4040621424 +45 25 43.014909864|     ~   |12.04    |11.51    |     ~   |     ~   |G              |   1|   0
18  |BD+45 4025                         |*  |22 42 26.0307481776 +46 41 56.240650788|     ~   |12.32    |10.68    |     ~   |     ~   |G              |   2|   0
19  |BD+47 3954                         |*  |22 52 28.3037541600 +48 01 24.752162640|     ~   |11.39    |11.07    |     ~   |     ~   |G              |   0|   0
20  |BD+46 3853                         |*  |22 51 54.1116042192 +47 46 00.399420552|     ~   |11.55    |10.28    |     ~   |     ~   |G              |   2|   0
21  |BD+47 4013                         |*  |23 01 18.4216755264 +48 20 02.456906892|     ~   |11.60    |10.33    |     ~   |     ~   |G              |   1|   0
22  |BD+47 4078                         |*  |23 13 11.5384251912 +48 22 59.836184940|     ~   |11.27    |10.11    |     ~   |     ~   |G              |   1|   0
23  |BD+48 4012                         |*  |23 21 50.0262605568 +49 05 33.052178256|     ~   |10.98    |9.28     |     ~   |     ~   |G              |   1|   0
24  |BD+49 4319                         |*  |00 03 47.6346634368 +50 28 54.664254264|     ~   |10.01    |9.48     |     ~   |     ~   |G              |   2|   0
25  |BD+47 40B                          |*  |00 15 58.7266365096 +48 35 23.456626440|     ~   |10.55    |10.17    |     ~   |     ~   |G              |   1|   0
26  |BD+47 388                          |*  |01 21 33.1283339784 +48 10 47.714293272|     ~   |10.48    |9.37     |     ~   |     ~   |G              |   1|   0
27  |HD 7941                            |*  |01 19 51.2765922336 +46 59 15.398280348|     ~   |10.88    |10.32    |     ~   |     ~   |G              |   2|   0
28  |AG+48 144                          |** |01 20 14.513952 +48 16 56.64108        |     ~   |12.276   |11.689   |11.524   |     ~   |G              |   2|   0
29  |BD+47 377                          |*  |01 20 07.0296038448 +48 15 34.491144528|     ~   |11.54    |10.20    |     ~   |     ~   |G              |   2|   0
30  |TYC 2849-23-1                      |*  |02 41 27.1448893848 +40 16 02.098668756|     ~   |10.93    |10.09    |     ~   |     ~   |G              |   1|   0
31  |BD+39 632                          |*  |02 46 24.6843 +40 19 43.673            |     ~   |11.86    |11.67    |     ~   |     ~   |G              |   0|   0
32  |HD 275137                          |*  |03 16 38.0155053936 +37 52 29.788460400|     ~   |11.50    |10.81    |     ~   |     ~   |G              |   2|   0
33  |HD 202520                          |** |21 15 05.0959 +42 57 09.421            |     ~   |9.23     |8.41     |     ~   |     ~   |G              |   8|   0
34  |BD+44 3786                         |SB*|21 21 13.9596676032 +44 48 10.869581124|     ~   |9.74     |8.84     |     ~   |     ~   |G              |   1|   0
35  |BD+45 3578                         |*  |21 32 18.7171411464 +46 13 53.619300696|     ~   |11.03    |10.05    |     ~   |     ~   |G              |   1|   0
36  |EM* LkHA 236                       |Or*|21 52 31.6679800656 +47 13 45.229349676|     ~   |17       |16.53    |     ~   |     ~   |G              |   7|   0
37  |TYC 3604-2214-1                    |*  |21 48 03.2676082464 +46 08 18.469708692|     ~   |11.45    |10.25    |     ~   |     ~   |G              |   1|   0
38  |BD+46 3570                         |*  |22 04 47.6716776912 +47 29 21.103010628|     ~   |10.69    |10.13    |     ~   |     ~   |G              |   1|   0
39  |GSC 03633-00083                    |*  |22 44 12.5214667344 +50 42 54.232658712|     ~   |     ~   |12.4     |     ~   |     ~   |G              |   1|   0
40  |HD 236017                          |*  |23 01 25.4664517704 +51 08 47.006562120|     ~   |11.10    |10.20    |     ~   |     ~   |G              |   3|   0
41  |BD+49 4041                         |*  |23 06 35.7347195184 +50 36 49.144400388|     ~   |11.09    |10.49    |     ~   |     ~   |G              |   1|   0
42  |BD+51 3700                         |SB*|23 44 45.9767799048 +52 29 50.360468532|     ~   |11.20    |10.60    |     ~   |     ~   |G              |   2|   0
43  |BD+51 3702                         |PM*|23 45 05.1589832016 +52 35 13.953026400|     ~   |11.15    |10.67    |     ~   |     ~   |G              |   2|   0
44  |BD+50 4162                         |SB*|23 49 55.2196821888 +51 31 20.953189128|     ~   |10.61    |10.21    |     ~   |     ~   |G              |   2|   0
45  |BD+52 18                           |*  |00 11 50.8961036880 +52 55 49.046850732|     ~   |10.92    |9.67     |     ~   |     ~   |G              |   1|   0
46  |TYC 3259-1689-1                    |*  |00 16 54.0655426464 +52 26 52.649374776|     ~   |11.51    |10.45    |     ~   |     ~   |G              |   2|   0
47  |BD+49 214                          |*  |00 50 22.7153051016 +50 38 01.223830176|     ~   |10.88    |9.95     |     ~   |     ~   |G              |  20|   0
48  |BD+49 295                          |*  |01 06 59.8794705456 +50 36 37.821916368|     ~   |10.75    |10.11    |     ~   |     ~   |G              |   1|   0
49  |HD 7613                            |*  |01 16 57.2743904448 +49 52 51.660899652|     ~   |9.39     |8.90     |     ~   |     ~   |G              |   2|   0
50  |BD+43 558                          |SB*|02 42 42.8897456448 +44 32 19.244957640|     ~   |10.69    |10.10    |     ~   |     ~   |G              |   3|   0
51  |V* V577 And                        |RS*|02 38 57.3056348520 +44 44 23.129999592|     ~   |11.48    |10.85    |     ~   |     ~   |G              |   7|   0
52  |TYC 2858-792-1                     |*  |02 50 15.7039985424 +44 41 14.442680724|     ~   |11.72    |11.15    |     ~   |     ~   |G              |   3|   0
53  |BD+43 564                          |*  |02 43 34.7053179648 +43 37 27.622961688|     ~   |11.02    |9.92     |     ~   |     ~   |G              |   3|   0
54  |BD+42 678                          |*  |03 00 25.9278438192 +42 37 02.496004392|     ~   |11.44    |10.96    |11.0     |     ~   |G              |   3|   0
55  |HD 275077                          |*  |03 14 52.9004547912 +40 30 23.721633360|     ~   |11.77    |11.26    |     ~   |     ~   |G              |   2|   0
56  |HD 275210                          |*  |03 22 01.7748526224 +39 07 20.622882468|     ~   |11.67    |11.27    |     ~   |     ~   |G              |   2|   0
57  |HD 275202                          |*  |03 19 06.3707860920 +39 32 21.981982020|     ~   |11.32    |10.56    |     ~   |     ~   |G              |   2|   0
58  |HD 275204                          |*  |03 20 40.6420545096 +39 22 04.733310900|     ~   |11.52    |10.41    |     ~   |     ~   |G              |   2|   0
59  |HD 275087                          |*  |03 17 43.6979375568 +39 53 21.320453904|     ~   |11.91    |11.29    |     ~   |     ~   |G              |   2|   0
60  |BD+40 4177                         |PM*|20 27 30.6443223072 +41 28 09.584419692|     ~   |9.607    |8.94     |     ~   |     ~   |G              |   6|   0
61  |BD+40 4229                         |*  |20 33 18.2632221336 +40 56 10.628246544|     ~   |9.89     |9.44     |     ~   |     ~   |G              |   8|   0
62  |TYC 3575-4326-1                    |*  |20 55 25.5208714008 +45 59 48.177773880|     ~   |11.74    |11.31    |     ~   |     ~   |G              |   2|   0
63  |EM* UHA 127                        |Em*|21 02 37.1054419776 +44 49 12.669960072|     ~   |13.36    |12.68    |12.72    |     ~   |G              |   4|   0
64  |EM* UHA 31                         |Em*|20 49 39.9440623800 +45 04 01.398141624|     ~   |15       |14       |     ~   |     ~   |G              |   4|   0
65  |TYC 3612-2374-1                    |*  |21 45 07.9263664200 +48 49 17.049420336|     ~   |12.27    |11.62    |     ~   |     ~   |G              |   1|   0
66  |NGC 7092 111                       |*  |21 32 58.6888646760 +48 27 49.280754168|     ~   |13.06    |12.52    |     ~   |     ~   |G              |   2|   0
67  |TYC 3632-571-1                     |*  |22 31 43.5470363904 +52 00 37.003773024|     ~   |11.78    |10.35    |     ~   |     ~   |G              |   3|   0
68  |HD 215808                          |SB*|22 46 54.1187390376 +53 48 09.281486340|     ~   |8.58     |8.03     |     ~   |     ~   |G              |  12|   0
69  |TYC 4003-378-1                     |*  |23 26 53.6236800569 +55 39 46.627073130|     ~   |11.60    |10.97    |     ~   |     ~   |G              |   1|   0
70  |TYC 3657-316-1                     |*  |00 24 36.5090504328 +55 00 16.367389848|     ~   |11.12    |10.07    |     ~   |     ~   |G              |   1|   0
71  |TYC 3290-1600-1                    |*  |01 36 39.6131608896 +51 28 42.727401876|     ~   |12.07    |11.25    |     ~   |     ~   |G              |   1|   0
72  |TYC 3292-1120-1                    |*  |02 00 09.4654743576 +50 47 19.202343792|     ~   |12.15    |11.00    |     ~   |     ~   |G              |   0|   0
73  |BD+49 519                          |PM*|02 00 26.0592670752 +49 52 58.390844304|     ~   |10.14    |8.57     |     ~   |     ~   |G              |   3|   0
74  |TYC 3300-2214-1                    |*  |02 38 34.1537285448 +48 43 45.378235200|     ~   |11.04    |10.19    |     ~   |     ~   |G              |   2|   0
75  |HD 275533                          |*  |03 36 08.9868205056 +40 36 59.080480272|     ~   |11.61    |11.04    |     ~   |     ~   |G              |   2|   0
76  |HD 275450                          |*  |03 34 07.2609150816 +40 45 30.315018132|     ~   |11.92    |11.08    |     ~   |     ~   |G              |   2|   0
77  |TYC 3158-1444-1                    |*  |20 09 46.8981608976 +41 29 04.956929340|     ~   |12.48    |12.32    |     ~   |     ~   |G              |   1|   0
78  |EM* UHA 1                          |Em*|20 40 11.2128544032 +44 18 01.360255248|     ~   |14.0     |13.5     |     ~   |     ~   |G              |   4|   0
79  |TYC 3579-1469-1                    |*  |20 52 23.1706614048 +48 19 57.216797472|     ~   |13.19    |11.74    |     ~   |     ~   |G              |   5|   0
80  |HD 207539                          |PM*|21 48 02.2398711408 +53 30 14.577697908|     ~   |9.26     |8.66     |     ~   |     ~   |G              |   6|   0
81  |TYC 3666-1595-1                    |*  |00 33 12.4691582496 +58 37 16.538242908|     ~   |11.98    |11.29    |     ~   |     ~   |G              |   1|   0
82  |HD 232439                          |SB*|01 27 47.7335208456 +55 08 18.570503328|     ~   |11.67    |10.78    |     ~   |     ~   |G              |   2|   0
83  |HD 232477                          |*  |01 37 30.5287 +55 11 16.202            |     ~   |10.88    |10.35    |     ~   |     ~   |G              |   2|   0
