,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
0,TYC 4076-392-1,F,04 07 30.6483,+67 16 34.618,--,11.12,10.65,--,--,10.539129,9.572,9.344,9.281
1,BD+44  3949,K,21 48 15.9473,+44 40 21.849,--,11.75,10.55,--,--,10.110612,8.25,7.672,7.535
2,LP  546-51,M,09 05 00.2879,+02 26 14.065,--,--,--,13.44,--,12.445852,9.537,9.006,8.722
3,BD+66   743,K,12 03 28.7857,+65 52 25.231,--,12.0,10.98,--,--,10.557624,9.026,8.496,8.37
4,BD+68   857,G,15 57 23.8823,+68 33 22.175,--,11.42,10.81,--,--,10.578123,9.558,9.302,9.227
5,HD 286776,A,04 26 00.1890,+14 13 35.457,--,12.1,11.56,--,--,11.360286,10.14,9.933,9.83
6,IRAS 17205-3601,O,17 23 55.69,-36 04 42.4,--,--,--,--,--,--,13.623,10.095,7.852
7,IRAS 16552-3954,O,16 58 41.4412,-39 58 51.679,--,--,--,--,--,--,12.62,9.887,8.212
8,HS 1349+4925,A,13 51 09.3733,+49 11 01.047,--,--,--,--,--,17.20046,16.088,15.582,15.27
9,IRAS 17193-4019,O,17 22 52.7316,-40 21 51.284,--,--,--,--,--,17.903927,10.06,8.027,6.408
10,[PNJ2003]  38,G,22 52 20.4622,+62 38 05.199,--,--,14.77,--,--,14.344188,12.605,12.099,12.024
11,TYC 4406-649-1,G,14 22 18.6557,+71 52 18.552,--,11.87,11.62,--,--,11.55883,10.738,10.505,10.465
12,TYC 4282-989-1,B,22 54 18.2314,+63 14 50.273,--,11.3,11.0,--,--,10.657076,9.786,9.684,9.632
13,SBSS 0950+568,G,09 54 06.6745,+56 34 35.447,--,17.6,--,16.3,--,16.823547,15.8,15.5,15.18
14,HD 176715,M,19 01 58.5073,-07 31 12.688,--,10.93,9.38,--,--,7.989914,5.27,4.023,3.842
15,HD 280093,A,04 44 08.1959,+38 09 58.406,--,11.91,12.17,--,--,10.984131,9.597,9.384,9.237
16,LS  II +39   12,B,20 12 30.8617,+40 00 32.438,--,11.96,11.38,--,--,11.329077,10.377,10.246,10.164
17,BD+44  3450,A,20 23 43.5901,+44 35 01.211,--,11.11,10.94,--,--,10.729739,10.124,10.046,9.992
18,BD-22   407,M,02 25 07.3553,-21 31 54.690,--,10.6,9.48,--,--,9.17489,7.574,7.028,6.868
19,AP J18464580-3016586,M,18 46 45.8043,-30 16 58.662,--,17.28,--,14.48,--,14.669635,11.993,11.062,10.878
20,TYC 4050-2871-1,B,02 29 34.2289,+62 02 47.538,--,13.05,12.48,--,--,12.021321,10.875,10.69,10.626
21,V* V533 Ori,M,05 20 03.8485,-04 49 11.790,--,13.08,10.54,--,--,9.993701,7.565,6.667,6.418
22,1RXS J004821.1+711622,G,00 48 21.1,+71 16 22,--,11.89,11.3,--,--,--,--,--,--
23,G  58-19,M,10 47 52.3409,+20 20 31.085,--,14.13,13.37,13.7,--,12.531349,10.061,9.46,9.231
24,IRAS 17166-3810,O,17 20 02.0229,-38 13 25.801,--,--,--,--,--,13.282888,5.868,4.575,3.834
25,Cl* Melotte  111     AV     871,M,12 17 14.2571,+25 20 44.625,--,12.51,11.79,12.33,--,12.135108,11.195,10.939,10.883
26,V* V1392 Oph,M,17 07 05.5291,-20 35 14.526,--,--,--,--,--,11.648224,8.857,7.872,7.595
27,IRAS 17079-3527,O,17 11 14.7381,-35 31 13.101,--,--,--,--,--,--,--,14.163,9.831
28,[MK97] 53,M,21 24 08.2650,+57 31 50.061,--,16.23,13.95,13.36,--,12.241435,8.802,7.778,7.431
29,LS   I +60  233,B,02 26 25.9378,+60 30 27.576,--,12.16,11.55,--,--,11.037749,9.368,9.147,8.998
30,GSC 04351-00823,K,05 28 12.5601,+72 42 35.906,--,10.88,10.45,10.394,--,10.365874,9.597,9.412,9.36
31,BD+48   464,K,01 33 23.7573,+49 40 24.628,--,11.31,11.15,--,--,10.859495,10.008,9.763,9.698
32,OH 359.814-00.162,O,17 45 48.4824,-29 10 45.199,--,--,--,--,--,--,--,13.04,9.739
33,HD 277430,A,05 01 02.5570,+39 12 08.067,--,11.76,11.5,--,--,11.406097,10.711,10.597,10.537
34,HD 195376,A,20 29 15.4788,+42 16 47.521,--,8.8,8.84,--,--,8.830302,8.822,8.9,8.903
35,IRAS 17282-3716,O,17 31 40.4695,-37 18 36.662,--,--,--,--,--,--,--,--,10.109
36,CLS  62A,M,12 54 01.7680,+32 43 00.681,--,--,--,--,--,--,13.946,13.306,13.172
37,BD+60  1772,G,17 40 28.8385,+60 04 27.105,--,11.24,10.54,--,--,10.545767,9.555,9.296,9.242
38,TYC 3300-2214-1,G,02 38 34.1537,+48 43 45.378,--,11.04,10.19,--,--,9.968486,8.682,8.376,8.248
39,BD+62  1683,K,19 08 02.1584,+63 11 34.526,--,11.33,9.89,--,--,9.4584,7.398,6.665,6.491
40,HD  28920,A,04 36 06.5235,+52 52 27.080,--,9.79,9.52,--,--,9.4826,8.902,8.796,8.751
41,2MASSs J0258046+193146,M,02 58 04.69,+19 31 46.9,--,--,--,--,--,--,--,--,--
42,TYC 3699-631-1,B,02 35 25.0332,+59 59 59.546,--,13.4,12.56,--,--,12.041493,10.607,10.402,10.284
43,HD 285393,K,04 06 28.4160,+16 32 53.973,--,10.0,--,--,--,10.70258,8.48,7.82,7.599
44,HD 284872,F,04 53 43.4753,+22 21 48.413,--,12.126,11.384,11.198,--,--,9.909,9.657,9.516
45,Cl Trumpler   37   412,G,21 33 03.740,+57 14 39.32,--,12.7,--,--,--,--,10.244,9.797,9.718
46,V* V1633 Oph,M,17 13 37.5967,-19 56 41.773,--,--,--,--,--,12.605113,9.514,8.478,8.152
47,HD 235762,A,22 13 27.2000,+54 33 09.522,--,9.84,9.6,--,--,9.584669,9.219,9.158,9.118
48,IRAS 16593-3932,O,17 02 45.6913,-39 36 50.729,--,--,--,--,--,19.575953,11.048,8.532,7.09
49,LS   I +62   26,B,23 49 24.8348,+62 58 17.978,12.78,13.08,12.41,--,--,12.199901,10.968,10.813,10.726
50,2MASSs J0253099+203849,M,02 53 09.92,+20 38 49.2,--,--,--,--,--,--,--,--,--
51,HD 279492,A,04 11 40.8575,+36 57 38.493,--,10.0,--,--,--,11.81486,11.352,11.278,11.258
52,BD+60  1851,K,18 48 48.6130,+60 28 35.786,--,10.12,9.11,--,--,8.833454,7.374,6.915,--
53,HD  51998,F,07 03 56.7206,+63 47 17.096,--,9.84,9.53,--,--,9.519541,8.973,8.884,8.837
54,HD  25216,A,04 02 18.4818,+45 01 42.216,--,10.84,10.39,--,--,10.400625,9.626,9.473,9.401
55,SBSS 1422+589B,G,14 23 56.8290,+58 45 16.135,--,16.88,16.48,16.23,--,16.393301,15.41,15.33,15.0
56,HD 284487,A,04 31 31.0463,+22 13 15.059,--,11.92,11.66,--,--,11.361183,10.416,10.273,10.208
57,LS   I +64   47,B,00 49 11.2657,+65 07 31.423,--,12.61,12.04,12.03,--,11.888615,10.816,10.61,10.592
58,IRAS 17365-3023,O,17 39 46.9728,-30 24 48.564,--,--,--,--,--,--,--,--,10.165
59,IRAS 17183-3614,O,17 21 38.5685,-36 17 42.543,--,--,--,--,--,18.481243,9.272,6.372,4.839
60,HD 284833,A,04 47 47.9869,+19 22 59.918,14.528,12.25,11.76,--,--,11.581467,10.602,10.47,10.402
61,BD+79    31,K,01 10 40.5942,+80 20 37.435,--,11.07,9.54,--,--,8.894197,6.667,5.859,5.676
62,BD-20  2531,F,08 26 36.1708,-20 44 38.844,--,10.64,10.26,--,--,10.16225,9.451,9.313,9.268
63,IRAS 17253-2824,O,17 28 30.6854,-28 26 54.875,--,--,--,--,--,18.985474,10.724,8.305,6.665
64,HD  27265,A,04 21 17.0559,+55 11 16.664,--,9.85,9.36,--,--,9.164598,8.207,8.026,7.979
65,HD 286258,F,05 00 38.2153,+15 50 12.606,--,11.88,11.31,--,--,11.141732,9.962,9.62,9.534
66,HD 279501,A,04 11 07.1968,+36 29 33.976,--,11.8,11.6,--,--,11.555399,10.888,10.784,10.724
67,V* XZ CrB,M,15 50 34.3112,+34 25 29.684,--,11.14,9.56,--,--,8.352699,5.354,4.733,4.261
68,OH 358.478-02.916,O,17 53 35.8267,-31 44 19.633,--,--,--,--,--,--,--,--,11.763
69,HD 207131,G,21 45 11.3536,+54 30 32.908,--,9.31,8.88,--,--,8.805899,8.055,7.903,7.863
70,BD+84   265,K,12 08 49.4130,+83 19 00.191,--,12.23,10.59,--,--,9.772993,7.203,6.37,6.093
71,BD+42  4364,K,22 21 52.0714,+42 49 33.298,--,10.86,9.42,--,--,8.888814,6.82,6.138,5.954
72,IRAS 17296-3155,O,17 32 52.4536,-31 57 15.770,--,--,--,--,--,15.966638,8.416,6.391,5.061
73,BD+60   956,K,06 24 22.6344,+60 48 51.020,--,11.04,9.79,--,--,9.398007,7.772,7.217,7.085
74,BD+77   890,G,23 05 01.9533,+77 55 32.934,--,10.33,9.87,--,--,9.752674,8.957,8.809,8.727
75,AG+63  369,M,05 30 17.7587,+63 03 19.555,--,10.93,9.16,--,--,7.571114,4.297,3.359,2.913
76,BD-16   697,M,03 45 17.5429,-16 29 21.010,--,11.06,9.84,--,--,9.540755,7.918,7.403,7.249
77,HD 235915,K,22 39 41.3632,+51 16 59.085,--,11.17,10.19,--,--,9.824635,8.129,7.562,7.411
78,V* V347 Sct,M,18 57 45.6785,-08 00 47.215,--,--,--,--,--,13.728158,8.212,7.288,6.776
79,[SOM2002]  2418,M,09 42 42.925,+47 00 53.59,--,--,--,--,--,--,--,--,--
80,OH 342.01+00.25,O,16 53 04.8816,-43 32 47.335,--,--,--,--,--,19.509148,8.344,5.354,3.38
81,BD+65  1884,K,23 24 28.8601,+66 30 55.851,--,12.13,9.57,--,--,8.057407,4.809,3.736,3.23
82,HD 317908,M,17 36 48.6250,-30 37 20.633,--,11.79,10.17,--,--,9.204639,6.474,5.576,5.281
83,BD+44  1148,B,05 15 57.0464,+44 51 37.912,--,10.55,10.49,--,--,10.480234,10.279,10.341,10.306
84,HD  94011,G,10 52 04.2473,+58 22 11.445,--,--,--,8.7,--,8.918229,7.858,7.555,7.521
85,HD  46298,F,06 33 28.5134,+20 52 09.750,--,9.58,9.29,--,--,9.329146,8.99,8.988,8.972
86,IRAS 17255-3220,O,17 28 50.2783,-32 22 33.610,--,--,--,--,--,--,12.67,9.616,7.73
87,BD+39   518,M,02 18 50.0077,+40 23 46.794,--,11.41,10.11,--,--,9.73805,7.782,7.066,7.022
88,[D75b] Star 16,M,02 38 33.4524,+61 54 31.257,--,15.6,--,--,--,11.511384,7.937,6.857,6.45
89,OH 141.7+03.5,O,03 33 30.6174,+60 20 08.858,--,--,--,--,--,19.668083,13.611,10.105,7.559
90,HD 144512,A,16 02 32.5539,+62 48 40.512,--,10.33,10.14,--,--,10.140816,9.854,9.825,9.798
91,BD+06   634,K,04 08 15.2895,+07 03 17.353,--,12.28,11.3,10.97,--,10.91429,9.712,9.35,9.271
92,HD  49694,G,06 53 55.3488,+62 16 15.584,--,9.68,9.31,--,--,9.188821,8.463,8.288,8.234
93,V* NS Her,M,17 31 41.4865,+21 49 55.127,--,13.31,11.83,--,--,10.324235,7.27,6.368,6.077
94,SBSS 1006+578,G,10 10 21.8734,+57 37 48.451,--,16.43,15.81,15.63,--,15.666855,14.674,14.36,14.25
95,HD  79594,G,09 19 32.9314,+71 05 39.126,--,9.68,9.27,--,--,9.225387,8.541,8.374,8.34
96,EM* UHA   85,K,20 56 38.2661,+44 49 25.232,--,15.0,14.0,--,--,12.865302,10.384,9.694,9.516
97,HD 165371,G,18 03 22.4278,+45 58 31.770,--,9.2,8.63,--,--,8.516123,7.561,7.377,7.332
