C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:20

sptype='K'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |BD+36 4315                         |** |20 54 42.4609039512 +37 13 53.168563020|     ~   |11.758   |10.392   |9.983    |     ~   |K              |   1|   0
2   |HD 203455                          |*  |21 21 11.5434867192 +38 55 42.768477624|     ~   |9.97     |8.75     |     ~   |     ~   |K              |   3|   0
3   |BD+38 4491                         |*  |21 25 21.3112903176 +38 56 42.587146068|     ~   |11.41    |9.82     |     ~   |     ~   |K              |   1|   0
4   |BD+40 4616                         |*  |21 42 27.6491635800 +41 00 25.091462088|     ~   |10.94    |9.84     |     ~   |     ~   |K              |   1|   0
5   |[FS2003] 1135                      |*  |21 48 54.28 +40 44 43.8                |     ~   |     ~   |     ~   |     ~   |     ~   |K              |   2|   0
6   |BD+42 4364                         |*  |22 21 52.0714496808 +42 49 33.298750812|     ~   |10.86    |9.42     |     ~   |     ~   |K              |   6|   0
7   |BD+41 4486                         |*  |22 24 50.5722871680 +42 35 44.683038492|     ~   |10.78    |9.14     |     ~   |     ~   |K              |   1|   0
8   |BD+46 3978                         |*  |23 13 42.5803380144 +47 11 52.168312680|     ~   |10.43    |9.13     |     ~   |     ~   |K              |   1|   0
9   |HD 555                             |*  |00 10 09.7569744912 +47 35 32.565701760|     ~   |10.74    |9.96     |     ~   |     ~   |K              |   2|   0
10  |TYC 2812-2316-1                    |*  |01 15 58.9925612400 +43 34 45.105245292|     ~   |12.79    |11.49    |     ~   |     ~   |K              |   1|   0
11  |TYC 2823-2402-1                    |PM*|01 47 45.5790579480 +42 36 44.118789120|     ~   |12.42    |11.52    |     ~   |     ~   |K              |   1|   0
12  |HD 201090                          |*  |21 06 11.6137178040 +40 58 36.882792912|     ~   |9.50     |8.44     |     ~   |     ~   |K              |   8|   0
13  |SAO 50462                          |*  |21 07 01.2164522736 +41 24 56.471856624|     ~   |10.71    |9.80     |     ~   |     ~   |K              |   7|   0
14  |BD+40 4433                         |*  |21 11 24.6872992176 +41 07 48.774894996|     ~   |10.25    |9.08     |     ~   |     ~   |K              |   2|   0
15  |BD+41 4139                         |*  |21 26 52.3086841488 +42 32 21.510939372|     ~   |10.07    |8.64     |     ~   |     ~   |K              |   1|   0
16  |GSC 03196-00833                    |*  |21 40 05.5684298280 +43 16 07.406089392|     ~   |11.3     |10.14    |     ~   |     ~   |K              |   1|   0
17  |BD+44 3949                         |*  |21 48 15.9473881536 +44 40 21.849848148|     ~   |11.75    |10.55    |     ~   |     ~   |K              |   1|   0
18  |BD+45 3762                         |*  |22 01 17.3941477224 +46 21 05.660277012|     ~   |10.62    |9.62     |     ~   |     ~   |K              |  11|   0
19  |NGC 7209 120                       |*  |22 06 21.0483044616 +46 23 43.618362864|     ~   |13.25    |     ~   |     ~   |     ~   |K              |   1|   0
20  |BD+47 3935                         |*  |22 49 56.6729472360 +48 31 12.182717964|     ~   |11.41    |10.50    |     ~   |     ~   |K              |   1|   0
21  |StKM 1-2063                        |*  |22 55 05.5638805848 +47 16 28.693865892|     ~   |11.40    |10.10    |     ~   |     ~   |K              |   3|   0
