C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |BD+43 4169                         |*  |22 19 44.2292900904 +44 13 50.285117064|     ~   |12.62    |10.60    |     ~   |     ~   |M              |   1|   0
2   |V* FZ Lac                          |Mi*|22 34 52.7362408368 +45 05 09.218472540|     ~   |11.23    |9.70     |     ~   |     ~   |M              |   1|   0
3   |BD+46 42                           |*  |00 16 30.2223930648 +46 48 37.494953676|     ~   |12.04    |10.52    |     ~   |     ~   |M              |   1|   0
4   |BD+45 113                          |*  |00 29 13.7795259648 +46 32 32.462469924|     ~   |12.26    |10.76    |     ~   |     ~   |M              |   1|   0
5   |HD 11612                           |*  |01 55 01.1750079624 +42 06 42.505189272|     ~   |11.20    |9.66     |9.26     |     ~   |Ma             |   2|   0
6   |BD+39 518                          |*  |02 18 50.0077794096 +40 23 46.794482556|     ~   |11.41    |10.11    |     ~   |     ~   |M              |   0|   0
7   |AG+37 326                          |LP?|02 47 07.8715179840 +37 41 45.321889164|     ~   |10.78    |9.50     |     ~   |     ~   |M              |   1|   0
8   |BD+38 4244                         |*  |20 49 47.5361264304 +38 33 10.888931664|     ~   |10.21    |8.22     |     ~   |     ~   |M              |   3|   0
9   |BD+44 3964                         |*  |21 51 07.4631730560 +45 31 36.962075352|     ~   |11.74    |10.26    |     ~   |     ~   |M              |   1|   0
10  |S1* 706                            |S* |22 29 22.6844377944 +47 25 11.552286468|     ~   |12.99    |11.33    |     ~   |     ~   |MS             |   2|   0
11  |S1* 720                            |S* |23 05 09.3973040976 +49 40 48.855508068|     ~   |12.35    |10.98    |     ~   |     ~   |MS             |   4|   0
12  |BD+48 4032                         |*  |23 24 45.3774287160 +49 47 15.717875892|     ~   |12.55    |10.93    |     ~   |     ~   |M              |   1|   0
13  |YW 49                              |*  |20 37 54.0 +39 52 00                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
14  |BD+40 4270                         |*  |20 40 03.8078706144 +40 34 54.574170492|     ~   |11.34    |9.76     |     ~   |     ~   |M              |   2|   0
15  |TYC 3181-4028-1                    |*  |21 18 29.6342040648 +43 30 26.685033192|     ~   |11.84    |10.12    |     ~   |     ~   |M              |   1|   0
16  |V* V1335 Cyg                       |LP*|21 21 18.7340061312 +45 51 24.431433624|     ~   |11.85    |9.62     |     ~   |     ~   |M              |   4|   0
17  |NSV 25534                          |LP*|21 15 06.9346951824 +44 42 16.892622828|     ~   |14.0     |12.0     |     ~   |     ~   |M              |   6|   0
18  |S1* 695                            |S* |21 53 09.1687585944 +46 16 18.908782932|     ~   |13.93    |10.89    |     ~   |     ~   |MS             |   5|   0
19  |S1* 717                            |S* |22 52 34.9753519032 +50 24 53.110497132|     ~   |11.92    |10.38    |     ~   |     ~   |MS             |   5|   0
