C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |HD 14633                           |SB*|02 22 54.2923246536 +41 28 47.724359448|6.14     |8.79     |8.73     |8.69     |     ~   |ON8.5V         | 222|   0
2   |OH 083.4-00.9                      |OH*|20 50 58.6238158104 +42 48 11.510112924|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  42|   2
3   |HD 215806                          |*  |22 46 40.2387415872 +58 17 43.950809976|9.05     |9.52     |9.23     |     ~   |     ~   |O              |  54|   0
4   |HD 218941                          |*  |23 11 14.8158430992 +60 34 21.734825988|10.34    |10.34    |9.678    |     ~   |     ~   |O              |  27|   0
5   |BD+60 2584                         |Be*|23 35 41.4970010424 +61 11 19.331282832|10.25    |10.78    |10.3     |     ~   |     ~   |O              |  24|   0
6   |HD 12323                           |SB*|02 02 30.1268458032 +55 37 26.372271540|7.95     |8.87     |8.92     |     ~   |     ~   |ON9.2V         | 182|   0
7   |HD 191781                          |s*b|20 09 50.5814420544 +45 24 10.486830312|10.1     |10.06    |9.53     |     ~   |     ~   |ON9.7Iab       |  64|   0
8   |RAFGL 2885                         |OH*|22 19 27.47784 +59 51 21.7080          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         | 135|   0
9   |OH 127.8-00.0                      |OH*|01 33 51.21048 +62 26 53.2032          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         | 181|   0
10  |IRAS 19375+4322                    |OH*|19 39 08.7729536736 +43 29 54.812874840|     ~   |     ~   |     ~   |     ~   |12.550   |O-rich         |  10|   0
11  |IRAS 19426+4342                    |OH*|19 44 15.9491719544 +43 49 19.515922016|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
12  |IRAS 19441+4520                    |OH*|19 45 43.5610054608 +45 27 43.241070924|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  10|   0
13  |IRAS 21554+6204                    |OH*|21 56 58.19496 +62 18 46.0152          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  42|   0
14  |IRAS 03156+5828                    |Mi*|03 19 37.6327858536 +58 39 46.791570960|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   7|   1
15  |OH 141.7+03.5                      |OH*|03 33 30.6174715608 +60 20 08.858343228|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  59|   0
16  |OH 138.0+07.2                      |OH*|03 25 08.40648 +65 32 07.0584          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  87|   1
17  |RAFGL 712                          |OH*|05 16 47.47392 +45 34 04.1448          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  30|   1
